threshold,VP,VN,FP,FN,TPR,S,FPR,FNR,TNR,E
-5e-324,1430,0,1560,0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,1430,0,1560,0,1.0,1.0,1.0,0.0,0.0,0.0
0.000887,1408,488,1072,22,0.9846153846153847,0.9846153846153847,0.6871794871794872,0.015384615384615385,0.3128205128205128,0.3128205128205128
0.000907,1408,489,1071,22,0.9846153846153847,0.9846153846153847,0.6865384615384615,0.015384615384615385,0.31346153846153846,0.31346153846153846
0.000925,1408,490,1070,22,0.9846153846153847,0.9846153846153847,0.6858974358974359,0.015384615384615385,0.3141025641025641,0.3141025641025641
0.000926,1408,491,1069,22,0.9846153846153847,0.9846153846153847,0.6852564102564103,0.015384615384615385,0.31474358974358974,0.31474358974358974
0.000928,1408,492,1068,22,0.9846153846153847,0.9846153846153847,0.6846153846153846,0.015384615384615385,0.3153846153846154,0.3153846153846154
0.000936,1408,493,1067,22,0.9846153846153847,0.9846153846153847,0.683974358974359,0.015384615384615385,0.316025641025641,0.316025641025641
0.000945,1408,495,1065,22,0.9846153846153847,0.9846153846153847,0.6826923076923077,0.015384615384615385,0.3173076923076923,0.3173076923076923
0.000951,1408,496,1064,22,0.9846153846153847,0.9846153846153847,0.6820512820512821,0.015384615384615385,0.31794871794871793,0.31794871794871793
0.000954,1408,497,1063,22,0.9846153846153847,0.9846153846153847,0.6814102564102564,0.015384615384615385,0.31858974358974357,0.31858974358974357
0.000955,1408,499,1061,22,0.9846153846153847,0.9846153846153847,0.6801282051282052,0.015384615384615385,0.31987179487179485,0.31987179487179485
0.000958,1408,500,1060,22,0.9846153846153847,0.9846153846153847,0.6794871794871795,0.015384615384615385,0.32051282051282054,0.32051282051282054
0.000962,1408,501,1059,22,0.9846153846153847,0.9846153846153847,0.6788461538461539,0.015384615384615385,0.3211538461538462,0.3211538461538462
0.000963,1408,504,1056,22,0.9846153846153847,0.9846153846153847,0.676923076923077,0.015384615384615385,0.3230769230769231,0.3230769230769231
0.000965,1407,504,1056,23,0.9839160839160839,0.9839160839160839,0.676923076923077,0.016083916083916083,0.3230769230769231,0.3230769230769231
0.00097,1407,506,1054,23,0.9839160839160839,0.9839160839160839,0.6756410256410257,0.016083916083916083,0.3243589743589744,0.3243589743589744
0.000972,1407,507,1053,23,0.9839160839160839,0.9839160839160839,0.675,0.016083916083916083,0.325,0.325
0.000973,1407,508,1052,23,0.9839160839160839,0.9839160839160839,0.6743589743589744,0.016083916083916083,0.32564102564102565,0.32564102564102565
0.000982,1407,509,1051,23,0.9839160839160839,0.9839160839160839,0.6737179487179488,0.016083916083916083,0.3262820512820513,0.3262820512820513
0.001005,1407,510,1050,23,0.9839160839160839,0.9839160839160839,0.6730769230769231,0.016083916083916083,0.3269230769230769,0.3269230769230769
0.001014,1406,510,1050,24,0.9832167832167832,0.9832167832167832,0.6730769230769231,0.016783216783216783,0.3269230769230769,0.3269230769230769
0.001016,1406,512,1048,24,0.9832167832167832,0.9832167832167832,0.6717948717948717,0.016783216783216783,0.3282051282051282,0.3282051282051282
0.001018,1406,513,1047,24,0.9832167832167832,0.9832167832167832,0.6711538461538461,0.016783216783216783,0.32884615384615384,0.32884615384615384
0.001026,1406,514,1046,24,0.9832167832167832,0.9832167832167832,0.6705128205128205,0.016783216783216783,0.3294871794871795,0.3294871794871795
0.001032,1406,515,1045,24,0.9832167832167832,0.9832167832167832,0.6698717948717948,0.016783216783216783,0.3301282051282051,0.3301282051282051
0.001041,1406,516,1044,24,0.9832167832167832,0.9832167832167832,0.6692307692307692,0.016783216783216783,0.33076923076923076,0.33076923076923076
0.001046,1406,517,1043,24,0.9832167832167832,0.9832167832167832,0.6685897435897435,0.016783216783216783,0.3314102564102564,0.3314102564102564
0.00105,1406,518,1042,24,0.9832167832167832,0.9832167832167832,0.6679487179487179,0.016783216783216783,0.33205128205128204,0.33205128205128204
0.001052,1406,520,1040,24,0.9832167832167832,0.9832167832167832,0.6666666666666666,0.016783216783216783,0.3333333333333333,0.3333333333333333
0.001054,1406,521,1039,24,0.9832167832167832,0.9832167832167832,0.666025641025641,0.016783216783216783,0.33397435897435895,0.33397435897435895
0.001058,1405,522,1038,25,0.9825174825174825,0.9825174825174825,0.6653846153846154,0.017482517482517484,0.3346153846153846,0.3346153846153846
0.001059,1405,523,1037,25,0.9825174825174825,0.9825174825174825,0.6647435897435897,0.017482517482517484,0.33525641025641023,0.33525641025641023
0.001062,1405,524,1036,25,0.9825174825174825,0.9825174825174825,0.6641025641025641,0.017482517482517484,0.33589743589743587,0.33589743589743587
0.001075,1405,525,1035,25,0.9825174825174825,0.9825174825174825,0.6634615384615384,0.017482517482517484,0.33653846153846156,0.33653846153846156
0.001083,1404,525,1035,26,0.9818181818181818,0.9818181818181818,0.6634615384615384,0.01818181818181818,0.33653846153846156,0.33653846153846156
0.001088,1404,526,1034,26,0.9818181818181818,0.9818181818181818,0.6628205128205128,0.01818181818181818,0.3371794871794872,0.3371794871794872
0.001089,1404,527,1033,26,0.9818181818181818,0.9818181818181818,0.6621794871794872,0.01818181818181818,0.33782051282051284,0.33782051282051284
0.001095,1404,528,1032,26,0.9818181818181818,0.9818181818181818,0.6615384615384615,0.01818181818181818,0.3384615384615385,0.3384615384615385
0.001096,1404,529,1031,26,0.9818181818181818,0.9818181818181818,0.6608974358974359,0.01818181818181818,0.3391025641025641,0.3391025641025641
0.001103,1404,530,1030,26,0.9818181818181818,0.9818181818181818,0.6602564102564102,0.01818181818181818,0.33974358974358976,0.33974358974358976
0.001104,1404,531,1029,26,0.9818181818181818,0.9818181818181818,0.6596153846153846,0.01818181818181818,0.3403846153846154,0.3403846153846154
0.001107,1404,532,1028,26,0.9818181818181818,0.9818181818181818,0.658974358974359,0.01818181818181818,0.34102564102564104,0.34102564102564104
0.00111,1404,534,1026,26,0.9818181818181818,0.9818181818181818,0.6576923076923077,0.01818181818181818,0.3423076923076923,0.3423076923076923
0.001111,1404,535,1025,26,0.9818181818181818,0.9818181818181818,0.657051282051282,0.01818181818181818,0.34294871794871795,0.34294871794871795
0.001112,1404,536,1024,26,0.9818181818181818,0.9818181818181818,0.6564102564102564,0.01818181818181818,0.3435897435897436,0.3435897435897436
0.001114,1404,537,1023,26,0.9818181818181818,0.9818181818181818,0.6557692307692308,0.01818181818181818,0.34423076923076923,0.34423076923076923
0.001115,1403,537,1023,27,0.9811188811188811,0.9811188811188811,0.6557692307692308,0.01888111888111888,0.34423076923076923,0.34423076923076923
0.001116,1403,538,1022,27,0.9811188811188811,0.9811188811188811,0.6551282051282051,0.01888111888111888,0.34487179487179487,0.34487179487179487
0.001121,1403,539,1021,27,0.9811188811188811,0.9811188811188811,0.6544871794871795,0.01888111888111888,0.3455128205128205,0.3455128205128205
0.001125,1402,539,1021,28,0.9804195804195804,0.9804195804195804,0.6544871794871795,0.019580419580419582,0.3455128205128205,0.3455128205128205
0.001126,1402,540,1020,28,0.9804195804195804,0.9804195804195804,0.6538461538461539,0.019580419580419582,0.34615384615384615,0.34615384615384615
0.001127,1401,540,1020,29,0.9797202797202798,0.9797202797202798,0.6538461538461539,0.02027972027972028,0.34615384615384615,0.34615384615384615
0.00113,1401,541,1019,29,0.9797202797202798,0.9797202797202798,0.6532051282051282,0.02027972027972028,0.3467948717948718,0.3467948717948718
0.001133,1401,543,1017,29,0.9797202797202798,0.9797202797202798,0.6519230769230769,0.02027972027972028,0.34807692307692306,0.34807692307692306
